Fiat;1992;1.750;1.770;t
Volvo;1997;1.521;1.540;t
Volkswagen;1996;1.205;1.220;t
Opel;2000;0.910;0.930;t
Volkswagen;1994;1.159;1.180;t
Fiat;2002;0.695;0.710;t
Audi;2000;1.480;1.500;t
Opel;2000;1.295;1.310;t
Honda;1997;0.990;1.010;t
Seat;1995;0.915;0.930;t
Ford;2000;1.126;1.140;t
Renault;2003;0.860;0.800;t
Opel;1999;1.170;1.190;t
Ford;2001;1.432;1.450;t
Audi;2003;1.765;1.780;t
Opel;2000;1.015;1.030;t
Renault;1999;1.245;1.260;t
Renault;2016;2.360;0.720;f
Honda;1999;1.100;1.120;t
Skoda;2000;1.000;1.020;t
Opel;1997;1.390;1.410;t
Saab;2007;1.610;1.630;t
Volkswagen;2001;1.135;1.150;t
Opel;1998;0.940;0.960;t
Peugeot;1989;0.810;0.830;t
Fiat;1999;0.705;0.720;t
Opel;2001;0.980;1.000;t
Ford;2005;1.096;1.110;t
Peugeot;1998;0.910;0.930;t
Renault;1991;0.935;0.950;t
Volkswagen;1995;1.550;1.570;t
Citroen;2004;0.960;0.980;t
Ford;2005;1.311;1.330;t
Audi;1995;1.308;1.310;t
Audi;2000;1.570;1.590;t
Peugeot;2003;1.304;1.320;t
Kia;2008;1.202;1.220;t
Toyota;1998;1.060;1.080;t
Skoda;1999;1.295;1.310;t
Ford;1999;1.114;1.130;t
Audi;1998;1.175;1.190;t
Ford;2000;1.290;1.310;t
Opel;2003;1.395;1.410;t
Opel;2000;1.690;1.710;t
Renault;2009;1.937;1.950;t
Honda;1998;0.990;1.010;t
Daewoo;2000;0.736;0.750;t
Mazda;2003;1.745;1.760;t
Opel;2000;1.145;1.160;t
Seat;2009;1.240;1.260;t
Volkswagen;1998;1.375;1.390;t
Saab;2004;1.505;1.520;t
Audi;1995;1.270;1.290;t
Renault;2002;1.155;1.170;t
Nissan;2004;1.448;1.460;t
Renault;2001;1.310;1.330;t
Hyundai;2006;1.545;1.560;t
Peugeot;2001;1.510;1.530;t
Skoda;1997;0.880;0.900;t
Skoda;2000;1.035;1.050;t
Peugeot;2002;1.105;1.120;t
Renault;2001;1.055;1.070;t
Audi;1998;1.235;1.250;t
Opel;2000;0.940;0.960;t
